"STATISTIC","Statistic Label","TLIST(A1)","Year","C02199V02655","Sex","C02857V03435","Type of Procedure","C02076V02508","Age Group","UNIT","VALUE"
"DHA102C01","Inpatient Bed Days","2017","2017","-","Both sexes","0100","Procedures on nervous system","215","0 - 14 years","Number","8940"
"DHA102C01","Inpatient Bed Days","2017","2017","-","Both sexes","0100","Procedures on nervous system","310","15 - 24 years","Number","4212"
"DHA102C01","Inpatient Bed Days","2017","2017","-","Both sexes","0100","Procedures on nervous system","415","25 - 34 years","Number","7714"
"DHA102C01","Inpatient Bed Days","2017","2017","-","Both sexes","0100","Procedures on nervous system","465","35 - 44 years","Number","8924"
"DHA102C01","Inpatient Bed Days","2017","2017","-","Both sexes","0100","Procedures on nervous system","500","45 - 54 years","Number","11523"
"DHA102C01","Inpatient Bed Days","2017","2017","-","Both sexes","0100","Procedures on nervous system","535","55 - 64 years","Number","13770"
"DHA102C01","Inpatient Bed Days","2017","2017","-","Both sexes","0100","Procedures on nervous system","570","65 - 74 years","Number","15666"
"DHA102C01","Inpatient Bed Days","2017","2017","-","Both sexes","0100","Procedures on nervous system","600","75 - 84 years","Number","9875"
"DHA102C01","Inpatient Bed Days","2017","2017","-","Both sexes","0100","Procedures on nervous system","630","85 years and over","Number","2887"
"DHA102C01","Inpatient Bed Days","2017","2017","-","Both sexes","0100","Procedures on nervous system","-","All ages","Number","83511"
"DHA102C01","Inpatient Bed Days","2017","2017","-","Both sexes","0101","Evacuation of subdural haematoma & intracranial haemorrhage","215","0 - 14 years","Number","51"
"DHA102C01","Inpatient Bed Days","2017","2017","-","Both sexes","0101","Evacuation of subdural haematoma & intracranial haemorrhage","310","15 - 24 years","Number","85"
"DHA102C01","Inpatient Bed Days","2017","2017","-","Both sexes","0101","Evacuation of subdural haematoma & intracranial haemorrhage","415","25 - 34 years","Number","241"
"DHA102C01","Inpatient Bed Days","2017","2017","-","Both sexes","0101","Evacuation of subdural haematoma & intracranial haemorrhage","465","35 - 44 years","Number","121"
"DHA102C01","Inpatient Bed Days","2017","2017","-","Both sexes","0101","Evacuation of subdural haematoma & intracranial haemorrhage","500","45 - 54 years","Number","138"
